,User,Community_ID,User_type
0,alisaborkova,0,leader
1,anonskinonoch,1,follower
2,tereshina,1,follower
3,sinart,1,follower
4,julietta.leks,1,follower
5,irinalerman,0,leader
6,id73902851,1,follower
7,cherenkovaveronika,2,follower
8,cocktailproject,1,follower
9,dimatim,1,follower
10,id84324595,1,follower
11,bobbyking,2,follower
12,fotokubstudio,0,follower
13,idguffik,1,leader
14,belyiae,2,follower
15,nikolyatsoy,1,follower
16,virgykoval,0,leader
17,id20897800,1,follower
18,id1087,2,follower
19,prokat,1,follower
20,cerber,0,agent
21,i.krainyuk,1,follower
22,vologdina,2,leader
23,freez,1,follower
24,vkomnatke,1,follower
25,denisovaolesa,0,leader
26,liukonen,3,leader
27,id8086,3,follower
28,kovalevea,0,follower
29,liubaeva,0,follower
30,id2619,4,follower
31,kseyas,4,follower
32,burunduk1,4,follower
33,id533,4,follower
34,dorokhov,4,follower
35,taniaprudnikova,4,follower
36,olga.silina,4,follower
37,djack,4,follower
38,nikita.kalinin,4,follower
39,septembreange,4,follower
40,zilberburg,4,follower
41,nikter,4,follower
42,pasholikov,3,follower
43,valentinvd,4,follower
44,sammarize,4,follower
45,egor,4,follower
46,digitalfarseer,4,agent
47,aobogatov,4,follower
48,ay,4,follower
49,ok,4,follower
50,nataliiaa,0,leader
51,misenko,0,follower
52,polysha,0,follower
53,igormalakhov,0,follower
54,e.islamov,0,follower
55,valeria.kosenkova,0,follower
56,asya,0,follower
57,avrorin,0,follower
58,belinskiyphoto,1,follower
59,alievakat,0,leader
60,alexanderkadochnikov,0,follower
61,helendomatskikh,0,follower
62,id503,0,follower
63,mariaokuneva,0,follower
64,smallfly,0,leader
65,id406,0,follower
66,tverdaya,0,follower
67,hesarocker,0,agent
68,knyzeva,3,follower
69,varvlad,0,follower
70,vital40in,0,follower
71,rinashmeleva,0,follower
72,cherrydarya,0,follower
73,kopalkin,0,follower
74,litviak,4,agent
75,alexeytkachenko,0,follower
76,stylistanna,0,follower
77,annaivanovaphotographer,0,follower
